Date,Open,High,Low,Close,Volume,Adj Close
5/01/2005,4058.4,4058.4,4026.1,4039.4,0,4039.4
4/01/2005,4048.3,4060.4,4044.5,4058.6,0,4058.6
3/01/2005,4052.8,4053.5,4045.3,4050.6,0,4050.6
31/12/2004,4052.8,4053.5,4045.3,4050.6,0,4050.6
30/12/2004,4042.7,4055,4042,4054.9,0,4054.9
29/12/2004,4047,4047.1,4036.5,4042.1,0,4042.1
28/12/2004,4028.1,4048.6,4027.1,4048.6,0,4048.6
27/12/2004,4028.1,4048.6,4027.1,4048.6,0,4048.6
24/12/2004,4028.1,4048.6,4027.1,4048.6,0,4048.6
23/12/2004,4031.1,4031.9,4016.5,4025.9,0,4025.9
22/12/2004,4016,4040.5,4016,4032.3,0,4032.3
21/12/2004,3998.1,4019,3996.3,4013.6,0,4013.6
20/12/2004,3989.1,3993.4,3980.6,3993.4,0,3993.4
17/12/2004,3974.4,3997.6,3966.5,3988,0,3988
16/12/2004,3948.7,3979.9,3948.5,3975.1,0,3975.1
15/12/2004,3931.1,3958.4,3930.4,3944.2,0,3944.2
14/12/2004,3914.5,3929.8,3914.4,3929,0,3929
13/12/2004,3898.2,3917,3898.2,3907.3,0,3907.3
10/12/2004,3893.4,3913,3892.7,3898.5,0,3898.5
9/12/2004,3895.4,3910.8,3877.1,3886.9,0,3886.9
8/12/2004,3924,3924,3891,3897.7,0,3897.7
7/12/2004,3948.7,3959.8,3927.3,3927.5,0,3927.5
6/12/2004,3939.2,3964.8,3939,3950.5,0,3950.5
3/12/2004,3935.9,3948.4,3934.9,3939.5,0,3939.5
2/12/2004,3905.8,3948.7,3905.8,3941.9,0,3941.9
1/12/2004,3932.2,3934.6,3899.3,3899.3,0,3899.3
30/11/2004,3927.3,3943.6,3923.5,3931.3,0,3931.3
29/11/2004,3910.7,3933.3,3910.7,3926.8,0,3926.8
26/11/2004,3907,3917.8,3895,3912.1,0,3912.1
25/11/2004,3886.7,3907.3,3886.2,3904.2,0,3904.2
24/11/2004,3867.2,3889.8,3866.5,3882.5,0,3882.5
23/11/2004,3837.5,3866.1,3837.5,3866.1,0,3866.1
22/11/2004,3870.2,3870.2,3825.1,3830.7,0,3830.7
19/11/2004,3877.6,3878,3866,3872.7,0,3872.7
18/11/2004,3876.5,3889,3876.5,3879.5,0,3879.5
17/11/2004,3866.8,3878.5,3864.3,3876,0,3876
16/11/2004,3879.8,3880.8,3862,3869.4,0,3869.4
15/11/2004,3863.3,3882.3,3862.2,3880.6,0,3880.6
12/11/2004,3865.1,3868.2,3855.7,3862.5,0,3862.5
11/11/2004,3852.5,3866.7,3852.1,3863.3,0,3863.3
10/11/2004,3835.4,3846.4,3830.6,3846.4,0,3846.4
9/11/2004,3823.8,3841.3,3822.9,3835.5,0,3835.5
8/11/2004,3837.2,3848.6,3821.2,3822.3,0,3822.3
5/11/2004,3838.8,3854.1,3838.3,3843.5,0,3843.5
4/11/2004,3832,3854.9,3828.7,3838.5,0,3838.5
3/11/2004,3795.4,3832.9,3795.2,3832.9,0,3832.9
2/11/2004,3794.1,3803,3787,3798.6,0,3798.6
1/11/2004,3781,3792.3,3777.9,3791.2,0,3791.2
29/10/2004,3765.1,3778.6,3763.7,3778.6,0,3778.6
28/10/2004,3745.1,3779.5,3744.9,3776.1,0,3776.1
27/10/2004,3708.1,3746.6,3708.1,3741.2,0,3741.2
26/10/2004,3683.5,3712.7,3683.5,3704.9,0,3704.9
25/10/2004,3709.8,3709.8,3674.9,3681.6,0,3681.6
22/10/2004,3711.8,3718,3708.1,3709.9,0,3709.9
21/10/2004,3701.5,3709,3695.4,3705.9,0,3705.9
20/10/2004,3708.7,3715.1,3700.1,3700.1,0,3700.1
19/10/2004,3709,3717.6,3706.9,3715,0,3715
18/10/2004,3720.3,3720.6,3705.1,3709.9,0,3709.9
15/10/2004,3708.5,3722.3,3707,3720.5,0,3720.5
14/10/2004,3712.7,3713,3704.4,3708.9,0,3708.9
13/10/2004,3713.3,3725.2,3710.2,3725.2,0,3725.2
12/10/2004,3703.3,3721.1,3703.1,3717.4,0,3717.4
11/10/2004,3689.4,3706.6,3689.2,3705.8,0,3705.8
8/10/2004,3698.1,3698.2,3681.9,3686.8,0,3686.8
7/10/2004,3700.3,3712.4,3692.3,3700.8,0,3700.8
6/10/2004,3701,3720.4,3699.8,3699.8,0,3699.8
5/10/2004,3697.7,3702.9,3690.5,3697.6,0,3697.6
4/10/2004,3666.7,3693.6,3666.4,3693.6,0,3693.6
1/10/2004,3665.1,3674.2,3654.6,3659.6,0,3659.6
30/09/2004,3659.9,3673.1,3659.7,3665,0,3665
29/09/2004,3637.6,3661,3637.6,3656.6,0,3656.6
28/09/2004,3617.3,3629.6,3612.3,3627.1,0,3627.1
27/09/2004,3625.4,3635.4,3610,3620.6,0,3620.6
24/09/2004,3634.2,3634.8,3620.2,3623.9,0,3623.9
23/09/2004,3636.9,3641.3,3623.3,3635.2,0,3635.2
22/09/2004,3635.4,3644.3,3634.7,3640.8,0,3640.8
21/09/2004,3625.3,3632.2,3613.9,3629.9,0,3629.9
20/09/2004,3639.1,3639.1,3624.9,3628.7,0,3628.7
